,date,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw
0,1984-07-28 00:00:00,0.0318,0.0618,0.0508,0.2668,0.1482,0.0676,0.2062,0.2755,0.1583,-0.0608
1,1985-04-10 00:00:00,0.0261,0.0275,0.0328,0.0302,0.0166,0.0138,0.0849,0.0606,-0.0044,0.0027
2,1985-05-12 00:00:00,0.0265,0.0305,0.0349,0.0634,0.0294,0.0228,0.1471,0.0883,0.0189,-0.0037
3,1985-06-29 00:00:00,0.0503,0.0728,0.0808,0.229,0.2532,0.1655,0.215,0.3343,0.094,-0.1873
4,1985-08-16 00:00:00,0.0344,0.0622,0.0597,0.2502,0.219,0.1176,0.2194,0.3053,0.133,-0.1398
5,1985-10-03 00:00:00,0.0336,0.0531,0.0704,0.1969,0.2435,0.1311,0.1702,0.2875,0.0856,-0.1737
6,1986-04-13 00:00:00,0.0221,0.0257,0.0207,0.0322,0.0068,0.0063,0.065,0.0487,0.0053,0.0101
7,1986-05-15 00:00:00,0.0241,0.0279,0.0324,0.0534,0.0132,0.0091,0.1518,0.0713,0.0151,0.0123
8,1986-05-31 00:00:00,0.024,0.0348,0.0363,0.075,0.0274,0.0126,0.2455,0.094,0.0283,0.0074
9,1986-08-03 00:00:00,0.043,0.0657,0.0633,0.2655,0.2388,0.1211,0.2497,0.3263,0.1407,-0.1504
10,1986-08-19 00:00:00,0.0341,0.0567,0.0518,0.2699,0.2261,0.1174,0.254,0.3121,0.1538,-0.1443
11,1986-10-06 00:00:00,0.0306,0.0565,0.0658,0.2239,0.2295,0.1214,0.161,0.2946,0.1104,-0.1538
12,1986-10-22 00:00:00,0.048,0.0675,0.0952,0.2212,0.2495,0.1385,0.0947,0.3277,0.0861,-0.1665
13,1987-03-31 00:00:00,0.0304,0.0293,0.0305,0.0373,0.0235,0.0106,0.07,0.0665,0.0017,0.0012
14,1987-04-16 00:00:00,0.0355,0.0387,0.0424,0.0637,0.025,0.0179,0.1236,0.0953,0.0129,0.0066
15,1987-05-18 00:00:00,0.0527,0.072,0.0829,0.1801,0.2122,0.1435,0.1883,0.2896,0.0571,-0.155
16,1987-06-19 00:00:00,0.0617,0.0868,0.088,0.2347,0.2118,0.1378,0.1093,0.3303,0.0941,-0.1357
17,1987-09-07 00:00:00,0.041,0.0544,0.0559,0.2059,0.2018,0.1005,0.2194,0.2665,0.1029,-0.1289
18,1987-09-23 00:00:00,0.038,0.0562,0.0649,0.2003,0.2057,0.1086,0.215,0.2715,0.0929,-0.1345
19,1987-10-25 00:00:00,0.0449,0.0674,0.0906,0.2029,0.2386,0.1351,0.0898,0.3097,0.0749,-0.1621
20,1988-03-17 00:00:00,0.0268,0.0346,0.0344,0.0565,0.0201,0.0163,0.08,0.0814,0.0137,0.0059
21,1988-05-20 00:00:00,0.0541,0.08,0.0901,0.2057,0.2861,0.1863,0.2411,0.345,0.0657,-0.2225
22,1988-07-07 00:00:00,0.0347,0.0519,0.0567,0.2252,0.2164,0.1177,0.271,0.2843,0.1168,-0.146
