,date,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw
0,1984-07-28 00:00:00,0.0286,0.0451,0.042,0.1327,0.0749,0.0385,0.2497,0.1563,0.0646,-0.0255
1,1985-04-10 00:00:00,0.0294,0.0311,0.0292,0.0465,0.0301,0.0218,0.1044,0.0762,0.0078,-0.0084
2,1985-05-12 00:00:00,0.0157,0.0207,0.0205,0.0358,0.0502,0.0263,0.1748,0.0655,0.0074,-0.0322
3,1985-06-29 00:00:00,0.035,0.0502,0.0468,0.1472,0.0837,0.0462,0.215,0.1753,0.0705,-0.0307
4,1985-08-16 00:00:00,0.0394,0.0587,0.0567,0.18,0.1241,0.0693,0.2667,0.222,0.0857,-0.0609
5,1985-10-03 00:00:00,0.023,0.0356,0.0395,0.079,0.0944,0.0837,0.2018,0.1357,0.0196,-0.0798
6,1986-04-13 00:00:00,0.0251,0.0289,0.0237,0.0436,0.0454,0.0293,0.1044,0.0763,0.0083,-0.0263
7,1986-05-15 00:00:00,0.0177,0.0213,0.0237,0.0464,0.0482,0.0195,0.1838,0.0718,0.0148,-0.0234
8,1986-05-31 00:00:00,0.0304,0.0381,0.0364,0.1105,0.07,0.0338,0.2625,0.1353,0.0517,-0.0267
9,1986-07-02 00:00:00,0.1035,0.1161,0.1082,0.2242,0.1386,0.0916,0.0293,0.3225,0.0694,-0.0462
10,1986-08-03 00:00:00,0.0382,0.0545,0.0473,0.1766,0.104,0.0654,0.2455,0.2057,0.0894,-0.0493
11,1986-08-19 00:00:00,0.029,0.0496,0.0456,0.1745,0.1075,0.0599,0.2752,0.1995,0.0919,-0.0506
12,1986-10-06 00:00:00,0.0261,0.0428,0.0457,0.087,0.1044,0.0377,0.1748,0.1397,0.0275,-0.0534
13,1986-10-22 00:00:00,0.0361,0.0452,0.048,0.0709,0.1038,0.0655,0.1189,0.1411,0.0074,-0.0716
14,1987-03-31 00:00:00,0.0501,0.0514,0.0532,0.072,0.0688,0.0527,0.06,0.1361,0.004,-0.0365
15,1987-04-16 00:00:00,0.0226,0.0237,0.0228,0.0362,0.0563,0.0333,0.1656,0.0732,0.0039,-0.039
16,1987-05-18 00:00:00,0.0261,0.0291,0.0308,0.0763,0.0451,0.0261,0.2238,0.0984,0.031,-0.0155
17,1987-06-19 00:00:00,0.067,0.0793,0.0786,0.1678,0.1439,0.0926,0.0996,0.2529,0.0529,-0.0792
18,1987-09-07 00:00:00,0.0393,0.0521,0.0473,0.1249,0.1119,0.0722,0.2455,0.1793,0.0477,-0.0694
19,1987-09-23 00:00:00,0.0374,0.0503,0.0563,0.1303,0.1323,0.0735,0.2411,0.1929,0.048,-0.0807
20,1987-10-25 00:00:00,0.0433,0.061,0.0668,0.1238,0.163,0.0954,0.1236,0.2153,0.0312,-0.1106
21,1988-03-17 00:00:00,0.0227,0.0302,0.0305,0.0387,0.0471,0.0298,0.0898,0.0779,0.0011,-0.0264
22,1988-05-20 00:00:00,0.0208,0.023,0.0227,0.0628,0.0704,0.0328,0.2625,0.092,0.0255,-0.0433
23,1988-07-07 00:00:00,0.0302,0.0424,0.0455,0.1032,0.109,0.0735,0.3083,0.1594,0.0347,-0.0753
24,1988-07-23 00:00:00,0.0383,0.0503,0.0554,0.1391,0.125,0.0691,0.3246,0.1944,0.0559,-0.0716
25,1988-08-08 00:00:00,0.0463,0.0589,0.0602,0.1407,0.1297,0.0828,0.3083,0.2078,0.0497,-0.0793
26,1988-08-24 00:00:00,0.041,0.0566,0.0612,0.1551,0.1485,0.0981,0.2918,0.224,0.0598,-0.099
27,1988-09-09 00:00:00,0.0366,0.0551,0.0531,0.1497,0.1752,0.1091,0.2835,0.2258,0.0589,-0.1279
28,1988-09-25 00:00:00,0.0414,0.0575,0.0588,0.1518,0.1505,0.1023,0.1928,0.2228,0.0575,-0.1041
29,1988-10-11 00:00:00,0.0533,0.0587,0.0732,0.1604,0.1622,0.1101,0.2106,0.2441,0.0539,-0.1101
30,1989-04-05 00:00:00,0.0164,0.0159,0.0221,0.0305,0.0209,0.0147,0.1189,0.0496,0.0051,-0.0067
31,1989-05-07 00:00:00,0.0323,0.0422,0.0396,0.0726,0.0642,0.0525,0.1883,0.12,0.0161,-0.0398
32,1989-06-08 00:00:00,0.0234,0.0356,0.0366,0.106,0.0674,0.0325,0.2918,0.1293,0.0498,-0.0257
33,1989-06-24 00:00:00,0.0297,0.039,0.0397,0.1241,0.1116,0.0669,0.271,0.1659,0.056,-0.0714
34,1989-07-10 00:00:00,0.0387,0.0593,0.066,0.1435,0.1415,0.0887,0.2877,0.2163,0.0493,-0.0888
