,ordinaldate,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw,fmask
0,724453,1517,1592,1551,2669,1718,1219,-459,4182,586,-542,4
1,724485,321,653,509,3246,1726,857,2106,3221,2008,-764,0
2,724741,16000,4244,4224,4872,3373,2543,-2042,11810,-2078,-225,4
3,724773,222,307,321,634,271,160,1331,836,219,10,0
4,724821,364,598,496,2632,1525,803,1748,2772,1539,-728,0
5,724853,742,1086,856,4980,2200,1153,898,4891,3008,-720,4
6,724869,314,692,537,3865,1890,952,2018,3680,2464,-796,0
7,724917,361,664,589,2815,2117,1169,1471,3225,1572,-1277,0
8,725045,5372,5700,5827,5926,600,440,-685,10378,-342,3610,3
9,725061,333,393,393,431,158,200,-129,792,-20,66,1
10,725093,831,875,856,1094,810,645,-515,2038,28,-263,4
11,725109,263,297,307,439,224,178,700,710,64,-12,1
12,725141,227,314,325,639,272,230,1518,862,209,-29,0
13,725157,291,383,365,893,487,338,2368,1164,349,-164,0
14,725189,756,1030,907,2892,1652,952,849,3482,1364,-628,0
15,725205,422,617,507,2222,1079,597,1236,2375,1225,-370,2
16,725221,348,649,442,3227,1643,766,2062,3129,2035,-676,0
17,725237,293,603,426,3499,1745,906,2150,3311,2258,-794,0
18,725285,352,658,659,2677,2098,1166,1471,3174,1431,-1269,0
19,725301,452,727,905,2438,2310,1217,849,3299,1081,-1397,0
20,725349,803,932,1109,1690,840,666,-293,2552,365,-91,3
21,725461,294,368,445,584,347,274,800,966,77,-68,0
22,725477,330,417,419,751,458,333,1189,1124,197,-144,0
23,725509,356,532,490,1694,1262,778,1702,2113,817,-732,0
24,725541,563,865,700,3130,1745,995,996,3435,1716,-774,0
25,725605,3470,3510,3541,4096,2887,2431,-2314,7944,-172,-733,4
26,725621,411,715,609,3478,2005,1012,1883,3577,2092,-957,0
27,725637,408,804,717,3285,2210,1133,2018,3654,1849,-1157,0
28,725653,1484,1683,1605,2958,2002,1336,-183,4524,757,-716,4
29,725669,577,938,1138,3160,2578,1524,947,4111,1429,-1507,0
30,725813,395,475,570,921,531,388,849,1378,227,-133,0
31,725877,378,707,650,2465,2035,1147,2106,3048,1255,-1248,0
32,725925,350,678,511,3568,1936,940,2238,3508,2240,-888,0
33,725941,324,731,526,3845,2080,974,2368,3745,2440,-938,0
34,725957,400,829,632,3897,2062,1012,2194,3893,2390,-884,0
35,725973,395,919,831,3870,2436,1287,2625,4205,2212,-1232,0
36,725989,478,930,1033,3409,2741,1542,2325,4228,1693,-1618,0
37,726005,738,1157,1538,3445,3167,1881,1793,4887,1332,-1897,0
38,726021,741,1320,1787,3375,3313,2012,1793,5129,1099,-1980,0
39,726181,419,378,262,384,141,118,84,679,9,78,1
40,726197,184,161,189,305,155,66,1093,448,75,11,1
41,726229,349,439,439,803,401,272,1838,1146,230,-46,0
42,726261,342,515,590,1330,833,595,2368,1772,511,-373,0
43,726277,314,551,593,1853,1392,839,2325,2315,886,-793,0
44,726293,358,659,690,2505,2533,1545,2411,3318,1223,-1820,0
45,726309,352,685,684,2741,2720,1637,2877,3539,1395,-1954,0
46,726325,369,617,593,2826,2531,1355,2667,3388,1561,-1678,0
47,726357,370,729,752,2795,2682,1464,2106,3578,1417,-1781,0
48,726373,447,645,686,2071,1860,1053,1883,2754,940,-1147,0
49,726389,576,804,914,1945,1826,1071,947,2893,670,-1053,2
50,726405,592,794,1071,2433,2496,1456,293,3558,924,-1602,0
51,726453,582,861,983,1484,867,597,-293,2282,325,-168,3
52,726485,1194,1171,1146,1203,203,137,-459,2150,-78,643,3
53,726549,127,201,145,204,140,72,750,367,16,-10,1
54,726565,237,239,221,339,206,145,898,563,49,-38,1
55,726581,280,377,410,833,516,320,947,1154,285,-172,0
56,726597,390,525,455,1182,778,483,1378,1583,467,-334,0
57,726629,196,367,288,1142,637,398,1518,1299,595,-284,0
58,726645,272,419,306,1706,819,479,1883,1746,999,-329,0
59,726709,222,498,386,2181,1175,627,1331,2231,1306,-529,0
60,726757,1947,2115,2205,2962,2963,2864,-1976,5789,74,-2015,4
61,726933,1226,1322,1429,1950,1939,1344,-183,3628,163,-1011,4
62,726949,390,508,527,956,793,457,947,1485,259,-354,0
63,726997,241,428,343,1609,975,599,1610,1785,889,-515,0
64,727013,782,958,961,2213,1681,1154,650,3153,781,-900,4
65,727045,268,496,399,2502,1279,637,1883,2466,1546,-538,0
66,727061,235,483,414,2537,1291,642,1973,2487,1574,-542,0
67,727077,241,498,452,2564,1511,673,1748,2607,1568,-690,0
68,727093,300,512,531,2408,1681,896,1883,2684,1360,-943,0
69,727109,357,637,719,2308,2128,1224,1378,3010,1104,-1382,0
70,727125,455,746,873,2476,2401,1373,1093,3377,1100,-1553,0
71,727285,696,833,1007,1837,1931,1324,849,3011,476,-1261,0
72,727333,440,681,688,2439,1835,1075,1928,2977,1222,-1064,0
73,727349,402,741,595,2728,2053,1169,2455,3199,1476,-1231,0
74,727365,582,963,914,3611,2447,1284,1702,4161,1926,-1248,0
75,727381,3633,3719,3616,4127,2327,1526,-348,7738,-125,278,4
76,727397,403,732,644,2991,2137,1110,2368,3386,1671,-1188,0
77,727413,542,815,801,2950,2405,1244,2710,3627,1501,-1390,0
78,727429,489,777,864,2592,2602,1447,2793,3538,1174,-1708,0
79,727461,615,1018,1375,2896,3122,1781,2194,4361,1041,-1995,0
80,727477,706,1005,1413,2635,3174,1901,1471,4290,786,-2143,0
81,727493,662,1080,1468,2547,2595,1443,947,4004,746,-1456,0
82,727509,872,1233,1457,2343,3103,1897,550,4252,457,-2084,0
83,727685,350,395,460,687,496,346,1284,1120,126,-181,0
84,727701,2552,2554,2512,3174,2397,2002,-2245,6008,23,-858,4
85,727717,344,362,373,550,193,156,1425,839,96,81,2
86,727733,401,443,511,987,693,438,2455,1434,307,-286,0
87,727749,363,510,576,1320,1173,744,2497,1902,486,-702,0
88,727781,498,636,783,1615,2778,1774,3042,3007,420,-2272,0
89,727813,481,635,697,1530,2660,1617,2752,2833,420,-2140,0
90,727829,473,588,739,1608,2824,1794,2238,2973,448,-2341,0
91,727861,509,691,787,1538,2762,1657,1189,2958,360,-2192,0
92,727877,7483,7429,7383,7584,4953,3538,-1462,15422,-959,-23,4
93,727941,4564,4921,5019,5147,1144,941,-403,9283,-335,2347,3
94,727957,1805,2257,2432,2798,932,577,-348,4683,155,827,3
95,728021,212,325,271,516,349,191,947,778,143,-97,0
96,728037,501,557,529,779,452,331,1189,1292,107,-65,4
97,728053,16000,5192,5234,5705,4713,3773,-859,13946,-2301,-1221,4
98,728101,341,509,490,1812,1342,725,2455,2180,926,-737,0
99,728117,338,517,441,1971,1906,1016,2835,2491,1033,-1281,0
100,728133,359,537,456,2341,2000,1055,2455,2763,1306,-1287,0
101,728149,392,605,599,2743,2305,1295,2793,3259,1499,-1503,0
102,728165,552,812,865,2722,2635,1456,2455,3653,1257,-1701,0
103,728181,544,806,951,2800,2598,1321,1883,3698,1299,-1553,0
104,728197,593,843,1068,2577,2917,1751,2583,3860,986,-2031,0
105,728229,560,876,1394,3004,2020,1178,550,3879,1245,-880,0
106,728405,198,193,238,399,222,138,1189,583,105,-38,1
107,728437,284,344,361,834,520,309,1044,1114,318,-189,0
108,728453,358,540,431,1801,952,522,1702,1989,966,-361,0
109,728469,255,413,357,1932,965,528,2238,1955,1150,-400,0
110,728485,387,579,459,2657,1509,762,1702,2748,1584,-702,0
111,728501,220,447,352,2783,1470,743,2238,2655,1795,-704,0
112,728517,231,478,404,3039,1787,889,1838,2979,1943,-936,0
113,728533,291,603,603,3308,2175,1152,1928,3490,1983,-1220,0
114,728549,418,759,804,3046,2501,1322,2194,3683,1597,-1499,0
115,728581,664,971,1324,2894,3146,1842,1093,4344,1059,-2073,0
116,728597,706,1035,1452,2935,2875,1668,241,4348,1032,-1720,0
117,728613,1503,1696,1967,2995,2513,1648,-293,4987,557,-1132,4
118,728629,689,854,1081,1682,1652,1059,-129,2821,351,-913,2
119,728709,279,313,289,363,114,105,-22,615,17,91,1
120,728757,442,427,426,644,381,317,849,1066,91,-95,0
121,728789,251,306,298,661,306,238,1425,874,236,-62,0
122,728805,327,352,336,785,392,232,1838,1026,294,-69,0
123,728821,239,366,291,1290,782,367,1838,1432,709,-333,0
124,728853,291,480,379,2462,1413,713,2325,2489,1513,-692,0
125,728869,256,474,403,2675,1526,771,2062,2664,1669,-758,0
126,728885,306,578,454,3105,1809,951,2282,3123,1928,-938,0
127,728901,253,542,552,2917,2076,1114,2150,3165,1723,-1235,0
128,728917,838,951,1151,3341,2689,1716,750,4360,1494,-1650,0
129,728933,507,832,1066,2689,2864,1749,1793,3884,1092,-1977,0
130,728949,1057,1422,1630,3166,3444,2352,84,5149,888,-2336,0
131,728965,687,970,1225,2687,3042,1720,550,4114,957,-1998,0
132,729077,191,128,159,214,65,37,-293,332,27,56,1
133,729125,228,165,213,439,172,139,750,571,151,-10,0
134,729141,163,213,221,376,185,131,1331,548,98,-16,1
135,729157,1077,1097,1049,1755,1124,819,-75,2805,344,-341,4
136,729189,160,246,211,702,339,194,1928,806,346,-92,0
137,729221,343,382,377,1359,654,410,1518,1517,695,-225,0
138,729237,522,624,613,1547,871,641,700,2014,613,-349,0
139,729253,226,405,346,1616,731,403,1883,1656,929,-232,0
140,729269,221,411,380,1789,1151,547,1883,1940,1028,-560,0
141,729285,3441,3361,3628,4706,4353,4192,-293,9143,52,-2691,4
142,729317,347,504,559,1935,1760,991,600,2481,951,-1139,0
143,729333,355,641,758,1794,1866,921,600,2585,720,-1106,0
144,729349,577,680,764,1409,1556,910,31,2330,369,-947,0
145,729461,342,343,316,283,203,120,650,641,-79,22,1
146,729477,255,196,203,307,155,147,84,505,39,-25,1
147,729509,498,501,483,744,513,379,898,1253,108,-169,2
148,729541,180,246,167,619,400,223,1883,764,294,-180,0
149,729557,211,312,248,1162,560,359,1748,1236,646,-227,0
150,729573,280,445,380,1707,732,400,1793,1754,968,-192,0
151,729589,216,431,343,2094,949,507,2194,2030,1291,-346,0
152,729605,257,415,359,2105,1106,490,2455,2092,1291,-437,0
153,729637,231,402,408,1978,1215,632,2018,2102,1153,-611,2
154,729653,240,470,424,2069,1509,839,898,2333,1171,-901,0
155,729669,370,535,633,2009,1961,1190,1284,2691,934,-1353,0
156,729685,445,630,684,1817,1832,1065,750,2594,742,-1189,0
157,729829,16000,6660,6493,5374,222,158,-183,12816,-2982,4667,3
158,729861,305,289,283,329,184,132,1189,616,-10,14,1
159,729893,770,844,844,1167,1004,812,1093,2147,84,-495,0
160,729909,405,361,427,620,705,500,1141,1161,65,-446,0
161,729949,238,327,280,1388,814,462,2335,1498,787,-405,0
162,729957,255,367,319,1626,863,477,2062,1695,943,-380,0
163,729965,228,373,285,1678,934,553,2284,1743,993,-475,0
164,729981,166,299,232,1543,855,456,1709,1546,953,-421,0
165,729989,3086,3113,3140,4074,3376,2918,-293,7733,87,-1584,4
166,729997,1769,1821,1713,2770,1396,1016,-1243,4328,525,-74,4
167,730005,236,379,320,1542,795,423,1518,1615,884,-315,0
168,730013,360,444,302,1651,946,460,1762,1776,940,-408,0
169,730029,255,377,381,1667,1195,646,1271,1900,919,-680,0
170,730037,253,457,454,1646,1334,669,996,2010,845,-754,0
171,730045,198,376,403,1543,1450,841,932,1954,790,-992,0
172,730061,587,812,797,1798,1714,1044,218,2709,611,-1023,0
173,730085,1704,1637,1764,2371,2134,1411,-917,4360,176,-919,4
174,730109,1328,1454,1558,1639,504,373,-158,2922,-53,568,3
175,730117,1393,1554,1613,1771,611,404,-238,3124,-12,542,3
176,730205,234,218,206,324,279,157,1046,562,48,-107,1
177,730221,296,304,307,466,471,393,1216,863,48,-304,0
