Date,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Brightness,Greenness,Wetness,Band 11
1984-06-26,1547.00000,1656.00000,1610.00000,2777.00000,1718.00000,1219.00000,-801.00000,4309.00000, 623.00000,-489.00000,   4.00000
1984-07-28, 318.00000, 618.00000, 508.00000,2668.00000,1482.00000, 676.00000,2062.00000,2755.00000,1583.00000,-608.00000,   0.00000
1985-04-10, 261.00000, 275.00000, 328.00000, 302.00000, 166.00000, 138.00000, 849.00000, 606.00000, -44.00000,  27.00000,   1.00000
1985-05-12, 265.00000, 305.00000, 349.00000, 634.00000, 294.00000, 228.00000,1471.00000, 883.00000, 189.00000, -37.00000,   0.00000
1985-06-29, 503.00000, 728.00000, 808.00000,2290.00000,2532.00000,1655.00000,2150.00000,3343.00000, 940.00000,-1873.00000,   0.00000
1985-07-31,16000.00000,16000.00000,7166.00000,16000.00000,16000.00000,5946.00000, -22.00000,29450.00000,2238.00000,-5435.00000,   4.00000
1985-08-16, 344.00000, 622.00000, 597.00000,2502.00000,2190.00000,1176.00000,2194.00000,3053.00000,1330.00000,-1398.00000,   0.00000
1985-10-03, 336.00000, 531.00000, 704.00000,1969.00000,2435.00000,1311.00000,1702.00000,2875.00000, 856.00000,-1737.00000,   0.00000
1986-02-08,16000.00000,7193.00000,7194.00000,7277.00000, 732.00000, 440.00000,-801.00000,14743.00000,-1975.00000,4844.00000,   3.00000
1986-02-24, 943.00000, 992.00000, 961.00000, 798.00000, 316.00000, 199.00000,-183.00000,1739.00000,-238.00000, 348.00000,   4.00000
1986-03-28, 675.00000, 692.00000, 658.00000, 903.00000, 626.00000, 508.00000,-293.00000,1621.00000,  59.00000,-195.00000,   0.00000
1986-04-13, 221.00000, 257.00000, 207.00000, 322.00000,  68.00000,  63.00000, 650.00000, 487.00000,  53.00000, 101.00000,   1.00000
1986-05-15, 241.00000, 279.00000, 324.00000, 534.00000, 132.00000,  91.00000,1518.00000, 713.00000, 151.00000, 123.00000,   0.00000
1986-05-31, 240.00000, 348.00000, 363.00000, 750.00000, 274.00000, 126.00000,2455.00000, 940.00000, 283.00000,  74.00000,   0.00000
1986-07-02, 889.00000,1099.00000,1056.00000,2305.00000,1551.00000,1020.00000, 650.00000,3267.00000, 778.00000,-651.00000,   2.00000
1986-07-18,1455.00000,1703.00000,1646.00000,3566.00000,2835.00000,1864.00000, 293.00000,5282.00000,1143.00000,-1471.00000,   4.00000
1986-08-03, 430.00000, 657.00000, 633.00000,2655.00000,2388.00000,1211.00000,2497.00000,3263.00000,1407.00000,-1504.00000,   0.00000
1986-08-19, 341.00000, 567.00000, 518.00000,2699.00000,2261.00000,1174.00000,2540.00000,3121.00000,1538.00000,-1443.00000,   0.00000
1986-10-06, 306.00000, 565.00000, 658.00000,2239.00000,2295.00000,1214.00000,1610.00000,2946.00000,1104.00000,-1538.00000,   0.00000
1986-10-22, 480.00000, 675.00000, 952.00000,2212.00000,2495.00000,1385.00000, 947.00000,3277.00000, 861.00000,-1665.00000,   0.00000
1986-12-09,1008.00000,1188.00000,1474.00000,2112.00000, 955.00000, 666.00000,-293.00000,3180.00000, 432.00000,  85.00000,   3.00000
1987-03-31, 304.00000, 293.00000, 305.00000, 373.00000, 235.00000, 106.00000, 700.00000, 665.00000,  17.00000,  12.00000,   1.00000
1987-04-16, 355.00000, 387.00000, 424.00000, 637.00000, 250.00000, 179.00000,1236.00000, 953.00000, 129.00000,  66.00000,   0.00000
1987-05-18, 527.00000, 720.00000, 829.00000,1801.00000,2122.00000,1435.00000,1883.00000,2896.00000, 571.00000,-1550.00000,   0.00000
1987-06-19, 617.00000, 868.00000, 880.00000,2347.00000,2118.00000,1378.00000,1093.00000,3303.00000, 941.00000,-1357.00000,   0.00000
1987-08-22,16000.00000,6870.00000,7028.00000,7993.00000,5859.00000,4993.00000,-1651.00000,17590.00000,-1913.00000,-1404.00000,   4.00000
1987-09-07, 410.00000, 544.00000, 559.00000,2059.00000,2018.00000,1005.00000,2194.00000,2665.00000,1029.00000,-1289.00000,   0.00000
1987-09-23, 380.00000, 562.00000, 649.00000,2003.00000,2057.00000,1086.00000,2150.00000,2715.00000, 929.00000,-1345.00000,   0.00000
1987-10-09,1112.00000,1181.00000,1300.00000,2465.00000,2147.00000,1291.00000, 448.00000,3823.00000, 692.00000,-1091.00000,   4.00000
1987-10-25, 449.00000, 674.00000, 906.00000,2029.00000,2386.00000,1351.00000, 898.00000,3097.00000, 749.00000,-1621.00000,   0.00000
1988-03-17, 268.00000, 346.00000, 344.00000, 565.00000, 201.00000, 163.00000, 800.00000, 814.00000, 137.00000,  59.00000,   0.00000
1988-05-20, 541.00000, 800.00000, 901.00000,2057.00000,2861.00000,1863.00000,2411.00000,3450.00000, 657.00000,-2225.00000,   0.00000
1988-07-07, 347.00000, 519.00000, 567.00000,2252.00000,2164.00000,1177.00000,2710.00000,2843.00000,1168.00000,-1460.00000,   0.00000
1988-07-23, 274.00000, 503.00000, 525.00000,2234.00000,2056.00000,1079.00000,2877.00000,2731.00000,1204.00000,-1349.00000,   0.00000
1988-08-08, 352.00000, 566.00000, 580.00000,2279.00000,2055.00000,1044.00000,2540.00000,2821.00000,1192.00000,-1286.00000,   0.00000
1988-08-24, 309.00000, 530.00000, 612.00000,2237.00000,2256.00000,1173.00000,2835.00000,2884.00000,1139.00000,-1508.00000,   0.00000
1988-09-09, 313.00000, 475.00000, 631.00000,2068.00000,2301.00000,1214.00000,2497.00000,2799.00000,1001.00000,-1602.00000,   0.00000
1988-09-25, 417.00000, 619.00000, 845.00000,2102.00000,2532.00000,1384.00000,1883.00000,3130.00000, 849.00000,-1758.00000,   0.00000
1988-10-11, 516.00000, 751.00000, 952.00000,2103.00000,2629.00000,1450.00000,1793.00000,3310.00000, 743.00000,-1801.00000,   0.00000
1989-03-20, 376.00000, 333.00000, 298.00000, 251.00000,  -6.00000,  73.00000, 137.00000, 539.00000, -91.00000, 180.00000,   1.00000
1989-04-05, 145.00000, 160.00000, 122.00000, 184.00000,  -4.00000, -51.00000, 996.00000, 256.00000,  35.00000, 145.00000,   1.00000
1989-05-07, 300.00000, 406.00000, 439.00000, 876.00000, 257.00000, 129.00000,2062.00000,1086.00000, 323.00000, 145.00000,   0.00000
1989-06-08, 609.00000,1017.00000,1118.00000,2440.00000,3219.00000,2215.00000,2877.00000,4087.00000, 745.00000,-2496.00000,   0.00000
1989-06-24, 568.00000, 866.00000,1012.00000,2566.00000,3157.00000,1963.00000,2960.00000,3952.00000, 973.00000,-2340.00000,   0.00000
1989-07-10, 463.00000, 786.00000, 831.00000,2608.00000,2929.00000,1683.00000,2625.00000,3685.00000,1171.00000,-2081.00000,   0.00000
1989-07-26, 396.00000, 783.00000, 742.00000,2706.00000,2696.00000,1492.00000,2960.00000,3560.00000,1331.00000,-1817.00000,   0.00000
1989-08-11, 382.00000, 650.00000, 683.00000,2679.00000,2607.00000,1355.00000,2667.00000,3394.00000,1390.00000,-1723.00000,   0.00000
1989-09-12, 424.00000, 688.00000, 786.00000,2388.00000,2710.00000,1587.00000,2194.00000,3394.00000,1060.00000,-1951.00000,   0.00000
1989-09-28, 555.00000, 893.00000,1097.00000,2682.00000,3176.00000,1849.00000,1793.00000,4053.00000,1036.00000,-2229.00000,   0.00000
1989-10-14, 391.00000, 612.00000, 745.00000,1532.00000,1789.00000,1070.00000,1141.00000,2434.00000, 497.00000,-1205.00000,   0.00000
1989-10-30, 507.00000, 737.00000, 971.00000,1853.00000,1830.00000,1101.00000, 137.00000,2838.00000, 590.00000,-1090.00000,   0.00000
1989-12-17, 834.00000,1033.00000,1280.00000,2008.00000,1279.00000, 777.00000,-183.00000,3040.00000, 490.00000,-321.00000,   0.00000
1990-01-18,1937.00000,1840.00000,1924.00000,1924.00000, 474.00000, 302.00000,-572.00000,3547.00000,-179.00000, 899.00000,   3.00000
1990-03-23, 595.00000, 669.00000, 740.00000, 962.00000, 679.00000, 654.00000, 550.00000,1725.00000,  62.00000,-290.00000,   0.00000
